software,codevolume,pull_closed_NUMS,pull_merged_NUMS,pull_open_NUMS,pull_closed_duration_MEAN,pull_merged_duration_MEAN,pull_open_duration_MEAN,pull_openratio,pull_mergedratio,pulls_FACTOR,issues_closed_NUMS,issues_open_NUMS,issues_closed_duration_MEAN,issues_open_duration_MEAN,issues_openratio,tags_NUMS,tags_FACTOR,comments_NUMS,comments_FACTOR,branches_NUMS,branches_FACTOR,communityhealth,commits_NUMS,commits_FACTOR,contributors_NUMS,contributors_FACTOR,commits_person_avg,active_contributors_NUMS,active_ratio
apache_cloudstack,6.05934072336,1032,1441,111,51.8914728682,52.5565579459,384.774774775,0.0429566563467,0.5576625387,426.449034304,2484,133,52.0893719807,326.421052632,0.0508215513947,151,24.920202856,132,21.784548192,182,30.036270992,83,31450,5190.3336412,273,45.054406488,115.201465201,42,0.153846153846
ecomfe_echarts,5.338990069,76,120,20,98.0789473684,4.49166666667,459.65,0.0925925925926,0.555555555556,40.4570896758,5786,2459,55.3207742828,344.438389589,0.298241358399,76,14.234901923,59,11.0507791244,7,1.31110938764,83,4783,895.862314442,58,10.8634777833,82.4655172414,10,0.172413793103
coreos_etcd,5.51759700605,844,4970,50,32.2168246445,2.30160965795,284.46,0.00852660300136,0.847544338336,1062.78149593,9393,280,18.017672735,254.267857143,0.0289465522589,139,25.1921261824,152,27.5482243146,10,1.81238317859,100,14016,2540.23626311,437,79.2011449044,32.0732265446,53,0.121281464531
apache_axis1,5.28793826498,0,0,0,None,None,None,None,None,0.0,0,0,None,None,None,91,17.208975491,0,0.0,43,8.13171369356,0,18621,3521.41024855,11,2.08020582858,1692.81818182,0,0.0
apache_axis2-java,5.62203052329,0,0,3,None,None,416.333333333,1.0,0.0,0.533615032429,0,3,None,416.333333333,1.0,42,7.470610454,0,0.0,15,2.66807516214,50,13222,2351.81931959,14,2.49020348467,944.428571429,1,0.0714285714286
druid-io_druid,5.5727577882,419,3335,129,50.9498806683,7.61349325337,427.937984496,0.0332217357713,0.858872006181,696.782481417,4725,1005,25.3422222222,540.545273632,0.175392670157,406,72.8544134575,231,41.4516490362,23,4.1272204668,66,8501,1525.4565734,228,40.9133159318,37.2850877193,49,0.214912280702
apache_incubator-dubbo,5.06135822092,292,169,43,145.633561644,34.6804733728,83.8604651163,0.0853174603175,0.335317460317,99.578014043,1255,461,93.3721115538,382.329718004,0.268648018648,51,10.0763466591,98,19.3623916195,2,0.395150849377,100,2266,447.705912344,81,16.0036093998,27.975308642,43,0.530864197531
elastic_elasticsearch,6.28402106303,4549,9470,205,41.5653989888,6.07666314678,92.8829268293,0.0144122609674,0.665776152981,2263.51882932,28825,1472,63.6830529055,372.25611413,0.048585668548,214,34.0546280564,956,152.131889822,141,22.437862411,83,38978,6202.71631954,1022,162.634719036,38.1389432485,155,0.151663405088
apache_httpcomponents-client,4.7903766589,93,5,3,249.053763441,0.2,126.666666667,0.029702970297,0.049504950495,21.0839370663,98,3,236.367346939,126.666666667,0.029702970297,105,21.9189444748,16,3.34002963426,10,2.08751852141,50,2865,598.074056384,14,2.92252592998,204.642857143,4,0.285714285714
kiegroup_jbpm,6.4265254123,447,759,5,42.9440715884,4.18708827404,21.2,0.00412881915772,0.626754748142,188.43775171,1206,5,18.5530679934,21.2,0.00412881915772,114,17.738979104,147,22.8739467393,23,3.57891683677,50,3455,537.615550914,95,14.7824825866,36.3684210526,13,0.136842105263
